Unigram,Frekuensi
discovered,1
experiments,1
combination,2
neurons,3
purelin,3
activation,1
function,2
layers,1
whereas,2
binary,3
sigmoid,3
revealed,1
bootstraps,1
worked,1
average,2
6017,4
9977,3
6923,3
menginformasikan,3
komponennya,1
rosida,2
hendriyono,2
diagnose,1
fausett,2
konvergensi,1
wisesty,2
unruk,1
terdiferensiasi,1
kusumadewi,3
warsito,4
menginisialisasi,1
bilangan,2
wanto,2
penghentian,2
meneruskannya,2
𝑍𝑛𝑒𝑡𝑗,1
𝑣𝑗0,1
𝑋𝑖𝑣𝑗𝑖,1
mengaplikasikan,2
𝑧𝑗,1
𝜓𝑍𝑛𝑒𝑡𝑗,1
menjumlahkan,1
terboboti,1
𝑌𝑛𝑒𝑡𝑘,1
𝑤𝑘0,3
𝑧𝑗𝑤𝑘𝑗,1
𝑝,1
𝑗1,3
𝑦𝑘,1
𝜓𝑌𝑛𝑒𝑡𝑘,1
𝛿,1
𝛿𝑘,1
𝑡𝑘𝑦𝑘𝜓𝑌𝑛𝑒𝑡𝑘,1
koreksi,2
𝑤𝑘𝑗,2
𝑤𝑗𝑘,1
𝛼𝛿𝑘𝑧𝑗,1
𝛼𝛿𝑘,1
penjumlahan,1
𝛿𝑛𝑒𝑡𝑗,1
𝛿𝑘𝑤𝑘𝑗,1
𝑚,1
𝑘1,1
mengalikan,1
𝛿𝑗,1
𝛿𝑛𝑒𝑡𝑗𝜓𝑍𝑛𝑒𝑡𝑗,1
𝑣𝑖𝑗,4
𝛼𝛿𝑗𝑥𝑖,1
𝑣0𝑗,1
𝛼𝛿𝑗,1
𝑤𝑘𝑗𝑏𝑎𝑟𝑢,1
𝑤𝑘𝑗𝑙𝑎𝑚𝑎,1
𝑣𝑖𝑗𝑏𝑎𝑟𝑢,1
𝑣𝑖𝑗𝑙𝑎𝑚𝑎,1
konjugasinya,1
inisialisasi,1
epoch0,1
error0,1
𝑔𝑗,1
𝐸,5
𝑤𝑗,1
𝑔𝑏2,1
𝑏2,2
𝑔𝑖𝑗,1
𝑑𝑎𝑛,1
𝑔𝑏1𝑗,1
𝑏1,2
𝑜𝑢𝑡𝑝𝑢𝑡𝑘,1
𝑘,1
𝑡𝑎𝑟𝑔𝑒𝑡𝑘2,1
𝑑0,1
𝑔0,1
𝛼𝑡,1
𝑎𝑟𝑔𝑚𝑖𝑛𝛼𝑓𝑤𝑡,1
𝛼𝑡𝑑𝑡,2
𝑤𝑡1,1
𝑤𝑡,1
𝑑𝑡,1
𝑔𝑡,1
mse,1
matriks,7
konfusi,7
utomo,3
mesran,3
𝐹𝑖𝑗,1
𝐹11,2
𝐹10,1
𝐹01,1
𝐹00,1
508,1
diestimasikan,1
𝐴𝑘𝑢𝑟𝑎𝑠𝑖,1
𝐹11𝐹00,1
𝐹11𝐹00𝐹01𝐹10,1
yuvaraj,2
𝑅𝑒𝑐𝑎𝑙𝑙,1
𝐹11𝐹10,1
bootstrap,11
𝑥1,2
𝑥2,1
𝑥𝐵,1
efron,4
tibshirani,2
berkalikali,1
1001,1
𝛼,1
100𝛼,1
interval,4
𝜃,1
𝑧1𝛼𝜎,1
diciccio,2
inap,6
mch,1
mchc,1
mcv,1
normalisasi,1
range,5
0109,1
bealepowell,3
restarts,3
iya,1
mengulangi,1
509,1
4191,1
resample,1
bootstrapping,1
bermacammacam,4
simulasi,6
10121,1
purelinlogsig,1
5721,1
1081,1
logsigtansig,1
5881,1
1091,2
logsiglogsig,1
6014,1
1013121,1
purelinpurelin,1
6007,1
101621,2
purelintansig,1
purelintansigpurelin,1
𝑥10,1
𝑣𝑗𝑖,3
𝑧1,2
𝑧16,1
𝑧2,1
𝑏3,1
𝑦,2
510,2
𝜓𝑜𝑣𝑏3,1
𝑤1𝑖𝜓ℎ2,1
𝑣𝑗𝑏2,1
𝜓ℎ1,1
𝑣𝑗𝑏1,1
𝑣𝑗𝑖𝑥𝑖,1
x4,1
x5,1
x6,1
x7,1
x8,1
x9,1
x10,1
339,1
478,1
345,1
709,1
05504,1
443,1
875,1
04746,1
453,2
05684,1
859,1
05574,1
07139,1
128,2
05760,1
471,1
158,1
335,3
874,1
04766,1
05492,1
399,2
331,2
798,2
04781,1
04779,1
matriks_konfusi_testing,1
confusionmat,1
tgt_ts,1
hasil_testing,1
153,3
selebihnya,2
𝑎𝑘𝑢𝑟𝑎𝑠𝑖,1
0153,1
0680153,1
06923,1
confidence,1
intervals,1
statistical,1
113,2
189228,1
httpswwwjstororgstable2246110,1
berlin,1
sciencebusiness,1
dordrecht,1
fundamentals,1
architectures,1
algorihms,1
jersey,1
prenticehall,1
excel,1
penyunt,1
hematologi,1
ulin,1
101109,1
httpdxdoiorg1020527jbkv11i1190,1
budidarma,1
437444,1
httpdxdoiorg1030865mibv4i22080,1
370380,1
httpsdoiorg1025077teknosiv3i32017370380,1
kapita,1
selekta,1
bp,1
adiwijaya,1
bw,1
polak,1
ribiere,1
httpdigilibmercubuanaacidmanagertfile_artikel_abstrakisi_artikel_600618627,1
378pdf,1
natureinspiredbased,1
multimedia,10
hindawi,1
httpsdoiorg10115520216644652,1
jtiik,5
1025126jtiik202071816,1
985992,5
23557699,1
kemenristekdikti,1
36ekpt2019,1
25286579,1
985,1
nonplayer,9
collision,21
avoidance,21
generator,19
2d,8
balap,34
egrang,44
asep,1
saeful,1
milak1,1
eka,1
hidayat2,2
aldy,1
aldya3,1
123infomatika,1
siliwangi,1
1asepsaepulmilak14studentunsilacid,1
2ekawahyuunsilacid,1
3aldyunsilacid,1
bambu,3
pijakan,3
berpijak,7
tergerus,1
sejenis,2
karungs,4
playstore,5
bergenre,4
racing,9
endless,3
run,4
npc,44
obstacle,55
gdlc,5
alpha,5
beta,7
acceptence,2
uat,2
8258,3
games,8
meters,1
bamboo,1
given,1
footing,2
below,1
played,1
ages,1
stepping,1
maintaining,3
balance,1
begun,1
erode,1
preserved,1
tries,2
revive,1
digitalbased,1
implementing,2
similar,1
observed,1
genre,1
weaknesses,1
npcs,2
avoid,2
randomly,1
functionally,1
appropriate,1
functionalities,1
declared,1
feasible,3
interpretation,1
simbolisasi,1
temurun,1
berfantasi,1
berekreasi,1
berlatih,1
bermasyarakat,1
ketangkasan,1
mencintai,2
andriani,2
50cm,1
keuletan,1
hikmah,3
diminati,2
sedikitya,1
peminat,1
tergeser,1
terputus,1
pewarisan,1
terbatasnya,1
individualistis,1
purnawan,2
wibawa,2
menang,2
kalah,3
menyukai,1
satriawan,2
alfatta,1
dikhususkan,1
troy,2
player,4
pemain,1
pergerakannya,2
ketempat,1
diterapkannya,1
atthariq,2
rintangan,8
sisipkan,1
finding,1
bevilacqua,2
rng,1
kriptografi,45
download,1
levelling,1
reward,1
koin,1
scroller,2
berplatform,1
oates,2
suggestion,2
milak,3
987,1
initiation,2
preproduction,2
release,2
audiens,1
animasi,4
png,3
mp3,1
jpg,1
petunjuk,6
interaktifitas,1
diperlombakannya,1
board,1
gameplay,6
options,5
worksheet,1
sdw,1
navigasi,10
uml,1
988,1
penggabungan,2
sound,2
difungsikan,1
studio,5
asset,1
berlisensi,1
ditunjukan,1
menggunkan,1
pengolah,1
adobe,2
photoshop,1
pemograman,1
perpindahan,9
unlock,1
jalurnya,1
collider,4
tubrukan,1
npctransformposition,1
vector3movetowardsnpctransfor,1
mposition,1
waypointposition,3
01f,1
timing,5
timedeltatime,1
timelisturutan,1
randomrange0,2
void,3
ifobstacle,1
didepan,1
kalo,1
vector3waypointpositionx,2
15f,2
waypointpositiony,2
waypointpositionz,2
dijalurnya,1
menghindar,3
atasfalse,1
dimplementasikan,1
pengacakan,1
transformposition,1
vector3transformpositionx,1
posisiyurutan,1
transformpositionz,1
unity,5
989,1
feedback,1
989able,1
tutorial,1
lintasan,3
menembus,8
npc1,1
npc2,1
990,1
berdempetan,1
kuisioner,5
umpan,1
visuals,3
likert,6
pertanyaanpertanyaan,2
materimateri,1
komunikatif,1
visible,2
keterbacaan,1
grafis,1
interesting,2
audien,2
memikat,1
lugas,1
accurate,2
penyampaiannya,1
pertanggung,1
jawabkan,1
legitimate,2
disusun,1
akal,3
rangkaianpesan,1
urutanurutan,1
giat,1
𝐻𝑎𝑠𝑖𝑙,1
𝑇,1
𝑥,1
𝑃𝑥,1
𝐼𝑛𝑑𝑒𝑥,1
𝐽𝑢𝑚𝑙𝑎ℎ,1
𝑌,1
𝑥100,1
991,1
px,1
soal,1
presentase,2
9667,2
9000,2
8333,1
8778,1
8222,2
9111,1
8444,2
9222,1
7444,1
9333,2
structrure,1
163522,1
7431,1
18166722,1
ket,1
bbaik,1
ccukup,1
kkurang,1
6665,1
6666,1
leveling,1
multiplayer,2
os,1
jelly,1
bean,1
menempel,11
race,2
beginning,1
unduh,7
diperangkat,1
smartphone,11
kostumisasi,1
3d,1
star,1
roleplaying,1
infomedia,1
pp3540,1
steering,1
992,1
httpsgamedevelopmenttutspluscomtutor,1
ialsunderstandingsteeringbehaviors,1
collisionavoidancegamedev7777,1
prototype,10
unsil,1
bumigora,1
9786021748800,1
tr,1
if2091,1
pp15,1
mulok,1
um,1
pp13,1
researching,1
isbn141290223,1
pp108124,1
widyani,1
guidelines,1
icacsis,1
9789791421195,1
pp95100,1
baby,1
lost,1
jungle,1
flash,1
cs3,1
pp4245,1
animation,1
pp135164,1
aama,1
ika,1
ks,1
tajog,1
merpati,1
22523006,1
pp166177,1
senatib,6
29621968,6
555,2
syafrillah,1
astro,1
heriadi1,1
fadia,1
aulia,1
azizah2,1
fauzan,1
eky,1
septyadi3,1
bhayangkara,3
tipes,3
serengan,3
1syafrillahastrogmailcomstro,1
2auliafadia122gmailcom,1
3fauzaneky8gmailcom,1
diterangkan,1
cryptography,11
eksekusi,2
powershell,3
steganografi,1
penerapannya,1
develops,1
diverse,1
overcoming,1
combat,1
securing,2
invitations,1
links,1
malicious,1
practical,2
installing,1
libraries,1
explained,2
overcome,1
execution,1
technological,7
rapid,1
steganography,1
often,2
rather,1
text,2
messages,1
maninthemiddle,2
lazim,1
dibagikan,3
multidisipliner,1
programmer,1
handphone,1
556,3
menyandikan,1
mengacak,2
eksperimental,1
pyhton,2
code,7
minimumcpu,1
dualcore,1
4gb,1
100gb,1
dienkripsi,3
instal,2
phyton,1
pythonorg,1
viscode,2
vs,3
marketplace,1
venv,1
env,1
akttifkan,1
envscriptsactivate,1
putaka,1
pip,1
install,2
aes,4
syafrillahastrogmailcom,1
terenkripsi,1
abydancowgmailcom,1
mendekripsi,1
dideskripsi,1
557,1
mendeskrpsikan,1
pihakpihak,2
kesalahpahaman,1
krusial,1
dipecahkan,1
mengenkripsinya,1
penyadap,1
aslinya,1
diimbangi,5
terlindungi,1
yunani,3
graphia,1
558,1
autentikasi,2
pabokory,1
seni,2
pensil,1
kertas,1
4000,2
mesir,1
hieroglif,1
menulis,1
romawi,1
kuno,1
julius,2
caesar,2
jenderalnya,2
kurir,1
kerahasiaannya,1
seterusnya,1
pesawat,1
terbang,1
technikos,1
logos,1
penggunaannya,1
mcdonnell,1
sayers,1
threat,3
dipasang,1
datainformasi,1
datainformation,1
kemhan,1
kokoh,1
diandalkan,2
merumuskan,3
warfare,1
memancing,1
menyusup,1
tercatat,2
559,1
selfefficacy,1
memvalidasi,1
efficacy,1
menganggapnya,1
sepele,1
empuk,1
ajakan,1
menggiurkan,1
tautantautan,1
apk,2
memfokuskan,1
nonapk,1
mengedukasi,1
nonaplikasi,2
dituju,1
560,1
encryption,1
standrard,1
aes128,1
invoice,4
muara,1
juara,1
kreasi,1
senafti,1
merliana,1
uzlah,1
isnawaty,1
destya,1
ashari,1
cardless,1
infirmasi,1
luhur,1
rc4,2
files,1
zaimah,1
panjaitan,4
mkom,1
rc4contoh,1
prakoso,1
rest,1
akademika,3
hardiansyah,1
meri,1
hendayani,1
ian,1
amukti,1
herlambang,8
andhika,1
nove,1
ziliwu,1
penyandian,1
batam,2
2808,2
5604,1
5078,1
indomathedu,2
intellectuals,2
2966,1
bhagasasih,1
alkansa1,1
mila,1
lisnadiani,1
iswanda2,1
kamilah3,1
tri,18
herlambang4,1
4universitas,1
12bungabhagasasihupiedu,1
21122023,1
revision,1
25122023,1
28122023,1
30122023,1
shows,1
importance,1
lives,2
integral,4
researchers,3
try,1
patterns,6
lifestyles,2
alkansa,10
iswanda,1
kamilah,1
29662975,1
httpdoiorg1054373imeijv4i3682,1
baharizqi,2
inovasiinovasi,2
ngafifi,5
seukuran,1
laptop,5
2967,1
menyatu,4
memandu,1
pendaratan,1
perekampemutar,2
koranmajalah,1
dompet,1
kompas,1
lampu,12
senter,1
alatalat,1
lyons,3
melebihlebihkan,1
difasilitasi,1
terstandarisasi,1
mikroelektronika,1
robotik,1
mengherankan,2
bye,2
menantang,1
reiman,1
hallen,1
ergonomis,1
kadir,2
2968,1
mengulanginya,1
surajiwo,1
bertujua,1
kajiannya,1
kajiankajian,1
sujarweni,2
kebudayaannya,1
teknologinya,1
adib,1
nonmaterial,1
2969,1
artefak,1
melambangkan,1
kenyamanan,5
terdalam,1
memediasi,1
tripati,2
bajpai,3
merefleksi,1
dirasakan,2
memburuk,2
mengkomunikasikan,1
seluler,1
penemuan,3
dwiningrum,1
gagasannya,1
baharziqi,1
irianto,3
antargenerasi,1
intragenerasi,1
2970,1
membajak,2
sawa,1
traktor,1
sawah,1
perontok,1
panennya,1
menghubungi,1
berpakaian,1
berbahasa,1
kurniawatik,1
berinovasi,1
berbelanja,1
diplomatik,2
2971,1
berpolitik,1
menyimak,1
mengkritisi,1
wahyudi,2
sukmasari,2
pelajaran,2
antusiasme,1
paparan,1
terputusnya,1
wu,1
punamäki,1
keharmonisan,1
tatap,1
nonverbal,1
luang,2
caprì,1
davies,1
douglas,1
devitt,1
roker,1
senggang,1
nonteknologi,1
puasa,1
tadpatrikar,3
lemahnya,1
kewibawaan,1
tradisitradisi,1
gotong,1
royong,1
tolong,1
melemahkan,2
sentripetal,1
2972,1
pengangguran,5
pekerjaannya,1
robot,2
ibarat,1
belenggu,2
dehumanisasi,1
ingat,1
berwajah,1
swot,1
say,1
baikburuknya,1
budak,1
evolusinya,1
perfection,1
2973,1
berbahasanya,1
berkurangnya,3
muhtar,2
fahrozy,1
pedagogik,5
elementary,1
pgsd,1
fip,1
259,1
httpsdoiorg1024114esjpgsdv13i246286,1
reliability,1
crew,1
roles,1
safety,1
158february,1
105962,1
httpsdoiorg101016jssci2022105962,1
dienlin,1
johannes,1
dialogues,1
135142,1
httpsdoiorg1031887dcns2020222tdienlin,1
hatuka,1
zur,1
mendoza,1
placing,1
practices,1
applicable,1
102978,1
httpsdoi101016jcities2020102978,1
metaverse,1
telaah,1
semesta,4
futuristik,1
naturalistic,3
1630,1
1640,1
httpsdoiorghttpsdoiorg1035568naturalisticv7i13371,1
zhai,1
humancentric,1
technologycentric,1
regime,1
chinese,3
104271,1
httpsdoiorg101016jcities2023104271,1
imam,1
tabroni,1
husniyah,1
sapitri,1
advancements,1
establishment,3
characteristics,2
eajmr,1
asian,2
2974,1
multidisciplinary,1
2732,2
httpsdoiorg1054259eajmrv1i1453,1
jie,1
mervyn,1
anggrianto,1
kelvin,1
gabriella,1
0402,1
392397,1
longkutoy,1
teknokratis,1
abdiel,1
khazanah,1
179191,1
httpsdoiorg1037368jav6i2431,1
mokhtarian,1
dijst,1
böcker,1
face,1
digitalization,1
influencing,1
conservation,1
recycling,1
132july,1
246257,1
httpsdoiorg101016jresconrec201707032,1
margo,1
yunansah,1
ekopedagogik,1
11501160,1
httpsdoiorg1035568naturalisticv6i21813,1
mathieu,1
berger,1
sterl,1
rai,1
rosenow,1
pursuing,1
earth,1
10741076,1
httpsdoiorg101016joneear202308007,1
fondasi,3
3347,1
httpsdoiorg1021831jppfav2i12616,1
phan,1
tran,1
bui,1
renewable,1
countries,10
chemical,1
8september,1
100496,1
httpsdoiorg101016jcscee2023100496,1
nuryani,1
multiliterasi,1
ke21,1
eduhumaniora,1
117126,1
olofsson,1
hallén,1
forsman,1
eriksson,1
interactions,2
modelling,1
bim,1
scoping,1
ergonomics,1
97july,1
103480,1
httpsdoiorg101016jergon2023103480,1
radiansyah,1
citeureup,1
sukapada,1
jaqfi,1
aqidah,1
76103,1
razak,1
othman,1
sundram,1
relationships,2
success,1
procurement,1
coordination,1
operational,1
proposed,3
conceptual,1
finance,1
3115,1
354360,1
httpsdoiorg101016s2212567115012095,1
sen,1
prybutok,2
reduces,1
isolation,2
older,1
ssm,1
17december,1
101020,1
httpsdoiorg101016jssmph2021101020,1
situmorang,1
7387,1
vwiratna,1
metodeologi,1
2975,1
surajiyo,1
winarni,1
seminastika,1
182187,1
httpsdoiorg1047002seminastikav3i1263,1
berdiferensiasi,1
dwija,1
cendekia,1
753764,1
httpsdoiorg1020961jdcv7i276475,1
szymkowiak,1
melović,1
dabić,1
jeganathan,1
kundi,1
65january,1
101565,1
httpsdoiorg101016jtechsoc2021101565,1
sharma,1
viswanath,1
usage,1
functioning,1
58january,1
102595,1
httpsdoiorg101016jajp2021102595,1
tanamal,1
religiusitas,1
milenial,1
ahlak,1
jagaddhita,1
kebhinnekaan,1
3346,1
httpsdoiorg1030998v1i21018,1
tripathi,1
living,1
todays,1
reflections,3
relational,1
67july,1
101706,1
httpsdoiorg101016jtechsoc2021101706,1
tucker,1
rihll,1
phatic,1
creating,1
3312,1
4451,1
httpsdoiorg101016jtechsoc201103017,1
wiryany,1
ferdiansyah,1
pperkembangan,1
2334,1
httpefendimhsnarotamaacid20140109pengaruhperkembanganteknologi,1
humanorganizationtechnology,1
fit,1
adoption,1
102010,1
httpsdoiorg101016jtechsoc2022102010,1
2246,1
1324,1
dedy,1
keolahragaan,2
dedy18056mhsunesaacid,1
noortje,1
kumaat,1
noortjeanitaunesaacid,1
direct,3
reguler,14
terprogram,3
fitness,14
optimally,1
depending,1
exercising,1
regularly,2
models,5
previous,1
sites,1
promote,1
skills,1
obesity,1
addition,1
programmed,1
116,6
kelenturan,3
afandi,2
miftah,2
azrin,2
membiasakan,1
ilyas,2
olah,1
raga,1
kegembiraan,1
prima,1
bugar,8
sportif,1
ati,2
imroatul,2
maghfiroh,2
khafis,2
mencapainya,1
diraih,1
jasmaninya,4
kecukupan,1
muspita,2
fernando,3
daud,3
damsir,2
terencana,1
berulangulang,1
sindrom,1
metabolik,1
osteoporosis,1
elsa,2
rutinitas,1
asalasalan,1
kardiorespirasi,1
kanakkanak,3
afifuddin,2
lutfillah,2
etimologi,1
berimplikasi,2
1320,1
vasha,2
lamanya,1
6090,1
detak,4
gilang,2
nuari,2
mega,3
widya,2
selidiki,1
metodologis,1
prawira,2
levels,1
dispesifikasi,1
endie,5
riyoko,5
pgri,2
palembang,7
srijaya,5
wardani,5
alwi,3
nurudin,3
sukabumi,3
bertempat,4
kadudampit,2
ngatman,2
soewito,4
fik,1
jepon,6
blora,6
kharis,4
nanda,2
iswahyudi,2
berlokasi,2
kahuripan,7
kediri,7
elif,2
top,6
yagmur,2
akkoyunlu,3
mustafa,2
akil,3
turki,1
rohan,2
telford,6
canberra,1
takanori,3
noguchi,4
fukui,2
japan,3
kelsey,2
logan,4
kesembilan,2
aep,4
rohendi,4
stkip,2
pasundan,1
sman,2
parongpong,2
kesepuluh,2
sheila,4
loviani,4
conggeang,6
sepakbola,2
sepak,7
1136,2
pre,8
1008,2
seusai,2
circuit,5
vii,5
smpn,4
hitung,2
plyometric,4
20172018,2
penjaskesrek,3
twelve,1
month,1
swimming,2
mentally,2
disabled,2
merevisi,3
fat,2
childhood,2
longitudinal,4
cochranea,1
cunninghamd,1
klub,19
pemuda,7
lisa,1
olivee,1
rachel,1
davey,2
physique,2
japanese,2
males,1
shinichi,1
demura,3
shigeru,1
shimada,2
hidetsugu,1
kobayashi,2
shunsuke,1
yamaji,2
takayoshi,1
yamada,1
jepang,9
keanggotaan,2
12year,2
rhodri,1
lloyd,2
tara,1
schafer,1
kalkhoff,1
jane,1
khoury,2
shelley,1
ehrlich,2
dolan,2
myer,2
terorganisir,5
spiral,1
ketidakaktifan,2
basket,9
futsal,9
berprestasi,7
rekreasi,10
hiking,12
ekstrakurikuler,8
dilatar,1
belakangi,1
lelah,1
bergantiganti,1
variatif,1
sirkuit,5
stasiun,1
pos,3
terselesaikan,1
quasi,1
eksperiment,2
lari,9
sit,2
besi,2
dumbbell,1
lompat,2
tali,1
push,1
jumping,1
jack,1
back,1
bangku,1
biomotor,1
kelincahan,2
koordinasi,1
ujit,2
1007,1
1619,1
kesegaran,1
tkji,1
sprint,1
siku,1
vertical,1
jump,1
5812,1
ttabel,1
3579,1
menonton,1
tv,1
renang,4
iq,1
5070,1
rataratanya,1
didaftarkan,1
ioi,1
353,1
baja,2
telanjang,1
khz,1
bfp,1
bisep,1
trisep,1
subskapula,1
spinailiaca,1
155,1
816,1
pedometer,1
akselerometer,1
shuttle,2
dexa,1
linier,4
harian,1
mvpa,1
tergabung,4
subyek,2
253,3
587,1
cg,3
eg,3
situp,1
sidestepping,1
lempar,2
rohrer,1
kecuali,6
serial,1
diorganisir,1
dipantau,1
dimula,1
highdensity,1
lipoprotein,2
hdl,1
low,1
ldl,1
insulin,1
faktorial,1
varians,1
anova,2
berprestasinya,1
pertemuan,4
ektrakurikuler,1
sampelnya,1
lainyang,1
atlet,2
pplp,1
9297,1
petanque,1
4i,1
126137,1
gymnastics,1
paju,1
jolma,1
4153,1
submaksimal,1
f2,1
isoprostan,1
1621,1
olympia,1
0502,1
2733,1
voli,1
3745,1
schaferkalkho,1
followup,1
19februaryhttpsdoiorg101016jpme,1
dr2020101107,1
151159,1
latihaan,1
semester,2
fkip,1
uir,1
20152016,1
7078,1
malesoguchi,1
shinic,1
httpsdoiorg105430wjev3n6p27,1
febrianto,1
educatio,1
300308,1
httpsdoiorg1031949educatiov7i2995,1
pelindo,1
u13,1
916,1
107116,1
jesa,1
125134,1
cochrane,1
cunningham,1
olive,2
httpsdoiorg101016jjsams201504008,1
twelvemonth,1
315322,1
gawai,1
1726,1
no1,7
23031255,7
upah,26
jambi,64
syahrur,1
romi,1
etik,1
umiyati,3
fak,1
syahrurromi2gmailcom,1
wage,6
province,3
poverty,5
provincial,3
tool,4
multiple,2
semilog,4
20012015,13
628,5
percent,3
1430,4
1784,4
provinces,1
partially,1
keywordseconomic,1
berganda,3
amir,1
mengentaskan,1
diiringi,1
wongdesmiwati,1
rintuh,2
mampuan,2
absolut,2
buta,2
ketidaksamaan,1
buruknya,1
pakaian,1
terpisah,1
pendekatannya,1
terkoordinasi,3
715,2
666,2
697,2
705,2
melambat,2
817,2
trickle,1
effeck,1
penetesan,1
kebawah,1
52500,1
50800,1
54300,2
689,1
50100,1
773,1
50900,1
55510,2
ump,9
runtut,1
times,1
log,16
β0,2
β1pe,1
β2logump,1
β1,1
α0,1
α12,1
koefeisien,1
term,1
tahunnya,3
2758,1
jasajasa,1
2612,1
adhk,1
pdrb,1
207495677,1
215139898,1
225571504,1
485,1
237207234,1
516,1
250691032,1
568,1
265544497,1
284554962,1
716,1
302012651,1
321539140,1
342961905,1
366860141,1
392735294,1
426117794,1
460931618,1
486559416,1
tunjangan,1
245000,1
304000,1
2408,1
390000,1
2829,2
425000,1
897,2
485000,1
1412,1
563000,1
658000,1
1687,1
724000,1
1003,1
800000,1
1050,1
900000,1
1250,1
1028000,1
1422,1
1142500,1
1114,1
1300000,1
1379,1
1502300,1
1710000,1
1383,1
jambiselama,1
berfluktuatif,1
11085,1
23000,1
10749,1
27600,1
27200,1
24900,1
846,1
22900,1
23200,1
54900,1
13664,2
50700,1
765,1
52600,1
375,1
54600,1
380,1
50090,1
775,2
50950,1
regresión,1
coefisien,1
eror,1
sig,3
constant,1
871,2
413,2
687,1
1109,2
881,1
5037,2
000,2
fhitung,3
20699,2
0775,3
sig000,2
determinasi,1
thitung,2
sig289,1
α,2
seyogyanya,1
pemantapan,1
menentu,1
diarahkan,9
dipertegas,1
rigiditas,1
pendistribusian,1
amiramri2007perekonomian,1
makrobiografika,1
bogor,4
bahrunb,1
syaparuddins,1
hardianih,1
sarolangun,1
dornbusch,1
fischer,1
startz,1
r2008,1
harlikh,1
amriahardianih2013,1
109120,1
khabhibiachmad2013analisis,1
usm,1
mankiwgregory,1
n2006,1
nopriansyah,1
junaidi,1
determinan,1
119128,1
ryanoktapy2013pengaruh,1
feuns,1
riani,1
haryadih,1
amrila,1
bungo,1
m2003,1
dikti,1
siregarh,1
dwahyuniarti2007,1
mbipb,1
sumarsonosonny2009,1
yogyarata,1
sumodiningratgdkk1999,1
impac,1
suryadiningratb2003,1
ipb,3
susetyob2010,1
refika,1
aditama,1
tambunan,1
ghalia,1
tans2010,1
unja,2
tans2013perencanaan,1
pembangunanteori,1
todaro,1
smith2010pembangunan,1
erlangga,1
amril,1
zulfanetti,1
sosio,1
widarjonoagus2009ekonometrika,1
aplikasinya,1
ekonisia,1
wongdesmiwati2009pertumbuhan,1
pengentasan,1
httpwongdesmiwatiwordpresscom20091024,1
pertumbuhanekonomidanpengentasankemiskinandiindonesiaanalisis,1
ekonometri,1
malia,29
sukamto,14
sukamtoyudhartaacid,1
yudharta,3
pasuruan,4
prespektif,5
hayati,22
nabati,1
diberdayakan,1
kepulauan,15
lautan,34
daratan,15
kelautan,65
kemaritiman,7
khatulistiwa,2
panas,7
dingin,3
kilometer,4
persegi,4
pelak,2
5000,2
perikanan,89
programme,2
undp,4
perairan,29
habitat,9
terumbu,12
karang,14
ikan,67
kandungan,16
rumput,17
minyak,22
cekengan,3
cadangan,3
barel,3
besera,3
letak,2
samudera,2
hindia,2
pasifik,5
pelayaran,16
bahari,9
primadona,2
pesona,5
bangsabangsa,2
swt,18
dimanfaakan,1
24778338,1
httpyudhartaacidjurnalindexphpmalia,1
25481371,1
filosofi,3
ketauhidan,2
persaudaraan,8
maritim,19
terealisasikan,1
berpegang,2
konservasi,4
keindonesian,1
nenek,1
moyang,1
pelaut,1
keberaniannya,1
mengarungi,1
perahuperahu,2
hebatnya,1
pelautpelaut,1
bugis,1
ombak,3
sriwijawa,1
kejayaannya,1
mengusai,1
cacatatan,1
sriwijaya,2
majapahit,1
kesultanan,1
kejayaannnya,1
pesisir,17
tuban,1
gresik,1
semboyan,1
jalesveva,1
jayamahe,1
jaya,4
kejayaan,3
luasnya,3
rakyatnya,1
menggantungkan,2
pencahariannya,1
historisitas,1
dilajak,1
kabinet,5
juanda,1
deklalasi,1
1953,1
dimusnahkan,1
penjajah,1
meluruskan,1
dikandungnya,1
kenangan,1
tercampakkan,1
nelayannelayan,1
mengaisais,1
jala,2
sobek,1
kapalkapal,9
kecanggihan,7
berkeliaran,1
menangkapi,1
bertonton,1
gotongroyong,1
berpola,1
kajayaan,1
saatnya,2
asingnya,1
elektronika,1
indenesia,1
tarabaikan,1
menyumbang,2
planet,3
bagiannya,3
¾,1
sewajarnya,1
pasir,2
gravel,1
geas,1
megnesium,1
cobals,1
lumpur,3
meneral,6
phosphorites,1
sodium,1
dna,1
posatium,1
konsevi,1
melimpah,5
ruah,1
digali,2
bangkit,1
kekeliruan,1
sosiageografi,1
dataran,2
darat,4
beribu,1
penghubungnya,1
95000,1
hamparan,1
ha1,1
depatemen,5
depatermen,2
dunia2,2
787,1
2514,1
10666,1
524,1
seindonesia,1
tangkap,5
tontahun,2
budidaya,43
tontahunnya,1
selayaknya,2
tingkatkan,1
kelestarian,4
unggulan,2
20102014,1
udang,2
1403,1
kerapu,3
961,1
bandeng,1
1045,1
patin,5
3073,1
nila,4
1903,1
mas,2
lele,1
2643,1
gurame,3
basah,1
kering,1
susunan,1
vitamin,2
iodium,2
seng,4
selenium,1
kalsium,1
keseluruhannnya,1
ikanikan,6
takson,1
biota,9
chordata,1
cucut,1
hiu,3
teleostei,1
beronang,1
kuda,3
romimohtarto,2
kasijan,2
