ngram,frequency
dan javascript,2
javascript iot,1
app ini,1
oleh browser,2
browser pada,2
pada smartphone,4
smartphone ataupun,1
ataupun laptop,2
laptop perancangan,1
app dijelaskan,1
5 proses,1
proses dalam,1
apps terjadi,1
terjadi saat,1
saat masukan,1
masukan dari,1
apps yang,1
berupa topik,1
topik dari,2
dari topik,1
diminta data,1
dari penyimpanan,1
data mongodb,1
mongodb atau,1
atau gridfs,1
gridfs sesuai,1
sesuai topik,1
topik tadi,1
tadi 4,1
4 implementasi,1
implementasi 41,1
41 implementasi,1
implementasi lingkungan,1
lingkungan sistem,1
sistem implementasi,2
implementasi topologi,1
jaringan akan,1
akan membahas,2
membahas konfigurasi,1
konfigurasi yang,2
dan laptop,1
laptop dalam,1
sistem konfigurasi,1
adalah mengatur,1
mengatur alamat,1
alamat ip,1
ip pada,3
pada interface,2
interface eth0,2
eth0 menjadi,1
menjadi static,1
static selain,1
diperlukan juga,1
juga konfigurasi,1
konfigurasi ip,2
pada internet,4
dengan raspberry,1
raspberry pi,4
pi dan,1
storage 411,1
411 konfigurasi,1
konfigurasi middleware,1
sebuah middleware,1
dapat menerima,4
sensor menggunakan,1
menggunakan multiprotocol,1
multiprotocol konfigurasi,1
konfigurasi pada,4
pada raspberry,1
pi menggunakan,1
menggunakan ip,1
ip static,1
static pada,1
eth0 yaitu,1
yaitu 1034856,1
1034856 kemudian,1
kemudian raspberry,1
pi dapat,1
sebagai access,1
point selanjutnya,1
selanjutnya konfigurasi,1
konfigurasi sensor,1
sensor dilakukan,1
dengan menghubungkan,1
menghubungkan sensor,1
ke access,1
point dari,1
dari raspberry,1
pi untuk,1
mendapatkan ip,1
ip gambar,1
4 rancangan,2
rancangan iot,1
app gambar,1
5 sequence,1
sequence diagram,1
diagram iot,1
app 412,1
412 konfigurasi,1
device ialah,1
terhubung secara,1
middleware oleh,1
itu igd,1
igd harus,1
harus sudah,1
sudah terkoneksi,3
terkoneksi dengan,4
dengan ip,2
ip 10341556,1
10341556 proses,1
proses subscribe,1
subscribe data,1
data bisa,1
berjalan gambar,1
menunjukkan pengaturan,1
pengaturan koneksi,2
koneksi pada,2
device mqttc,1
mqttc mqttclientserver,1
mqttclientserver clean_sessionfalse,1
clean_sessionfalse mqttcconnect10341556,1
mqttcconnect10341556 1883,1
1883 gambar,1
6 pengaturan,1
device middleware,1
dikembangkan pada,1
metode publishsubscribe,1
publishsubscribe dalam,1
pertukaran pesan,1
pesan sehingga,1
ini dibangunlah,1
dibangunlah internet,1
subscribe ke,4
middleware jurnal,1
komputer 2553,1
2553 fakultas,1
brawijaya 413,1
413 konfigurasi,1
storage disini,1
disini dikembangkan,1
sebuah virtual,1
virtual private,1
private server,1
server vps,1
vps dengan,1
ip eksternal,1
eksternal 1034033,1
1034033 gambar,1
7 menunjukkan,1
menunjukkan konfigurasi,1
storage gambar,1
7 konfigurasi,1
pada vps,2
vps 42,1
42 implementasi,1
implementasi internat,1
internat gateway,1
igd implementasi,1
implementasi internet,2
device dilakukan,1
melakukan komunikasi,1
komunikasi yaitu,1
yaitu subscribe,1
middleware untuk,1
sensor implementasi,1
implementasi dilakukan,1
setiap data,2
yang disubscribe,1
disubscribe berdasarkan,1
yaitu gambar,1
dan homeco,1
homeco gambar,1
8 kode,2
kode implementasi,1
ke topik,1
pada middleware,2
middleware gambar,1
subscribe gambar,1
9 kode,1
program subscribe,1
9 diatas,1
bagaimana internet,1
menerima pesan,1
pesan setiap,1
setiap middleware,1
middleware mengirimkan,1
setiap topik,2
middleware mqttsubscribe,1
mqttsubscribe igd,1
igd kemudian,1
kemudian melakukan,1
diterima dari,1
middleware ke,1
service 43,1
43 implementasi,1
implementasi api,1
service pembuatan,1
pembuatan web,1
service ditulis,1
python yang,2
dilakukan ketika,1
ketika menjalankan,1
menjalankan internet,1
device 431,1
431 methods,1
methods get,1
get implementasi,1
implementasi web,3
service get,2
get yang,1
10 gambar,2
10 kode,1
program web,3
get untuk,1
saat websevice,1
websevice sudah,1
sudah dijalankan,1
dijalankan melalui,1
device maka,1
bisa menjalankannya,1
menjalankannya dengan,1
dengan masuk,1
ke alamat,1
alamat http1270015000apigetdatanama,1
http1270015000apigetdatanama data,1
diambil 432,1
432 methods,1
methods post,1
post implementasi,1
service post,3
post yang,2
11 kode,1
post untuk,2
gambar gambar,1
12 kode,1
data co,2
co jurnal,1
komputer 2554,1
2554 fakultas,1
brawijaya 44,1
44 implementasi,1
implementasi data,5
storage implementasi,1
storage dilakukan,1
diterima dalam,2
gridfs 441,1
441 instalasi,1
instalasi mongodb,2
mongodb perintah,1
perintah dalam,1
dalam menginstall,1
menginstall data,1
mongodb ditunjukkan,1
dalam gambar,1
13 gambar,1
13 instalasi,1
mongodb setelah,1
mongodb telah,1
telah terinstall,1
terinstall sekarang,1
sekarang saatnya,1
saatnya menjalankan,1
menjalankan data,1
storage tersebut,1
perintah gambar,1
gambar 14,2
14 menunjukkan,1
menunjukkan perintah,1
perintah menjalankan,2
menjalankan mongodb,2
mongodb sudo,1
sudo service,2
service mongod,1
mongod start,1
start sudo,1
service mongo,1
mongo start,1
start gambar,1
14 perintah,1
mongodb 442,1
442 implementasi,1
implementasi mongodb,1
gridfs pembuatan,1
gridfs ditulis,1
digunakan dapat,1
pada berikut,1
2 db,1
db clientdatagambar,1
clientdatagambar fs,1
fs gridfsgridfsdb,1
gridfsgridfsdb gambar,1
gambar 15,1
15 implementasi,1
1 db,1
db clientdataco,1
clientdataco gambar,1
gambar 16,2
16 menunjukkan,1
menunjukkan implementasi,1
co untuk,1
membuat data,2
storage pada,1
pada gridfs,4
gridfs diperlukan,1
untuk terkoneksi,1
terkoneksi terlebih,1
dahulu dengan,1
mongodb serta,1
serta nama,1
nama collection,1
collection yang,1
data penjelasan,1
penjelasan dari,1
dari adalah,1
1 baris,1
baris 1,1
pada progam,1
progam adalah,1
adalah perintah,2
membuat koneksi,2
koneksi dengan,1
gridfs dan,1
membuat collection,1
collection untuk,1
data 2,2
2 baris,1
baris 2,1
2 adalah,1
gridfs dengan,1
parameter db,1
db dimana,1
dimana sudah,1
sudah didefinisikan,1
didefinisikan pada,1
pada kode,1
kode sebelumnya,1
sebelumnya gambar,1
16 pengalamatan,1
pengalamatan penyimpanan,1
gambar 17,2
17 menjelaskan,1
menjelaskan penyimpanan,1
yang berapa,1
berapa pada,1
vps di,1
di alamat,1
alamat 1034033,1
1034033 45,1
45 implementasi,1
implementasi iot,1
application web,1
web dikembangkan,1
dikembangkan menggunakan,1
php untuk,1
untuk web,1
ditampilkan implementasi,1
ini dimulai,1
membuat kode,1
dapat terhubung,1
dan membaca,1
membaca data,1
storage melalui,1
melalui protokol,2
protokol websocket,2
websocket sesuai,1
perancangan selanjutnya,1
selanjutnya membuat,1
membuat web,1
pada browser,1
browser menggunakan,1
javascript hasil,1
akhir implementasi,1
gambar 18,2
17 tampilan,1
tampilan web,1
web 5,1
5 pengujian,1
pengujian 51,1
51 pengujian,1
fungsional pengujian,1
untuk untuk,1
melihat kesesuaian,1
kesesuaian fungsi,1
fungsi hasil,1
implementasi dengan,1
dengan perancangan,1
perancangan dari,1
analisis pengujian,3
pengujian fungsionalitas,1
fungsionalitas dapat,1
dilihat apakah,1
apakah fungsi,1
sistem data,2
storage telah,1
benar tabel,1
menunjukkan analisis,1
fungsional jurnal,1
komputer 2555,1
2555 fakultas,1
brawijaya tabel,1
fungsional kode,1
kode fungsi,1
fungsi status,1
status dc_001,1
dc_001 internet,1
device dapat,3
dapat men,1
men subscribe,1
middleware yaitu,2
yaitu topik,3
topik gambar,5
gambar homeco,5
homeco valid,4
valid dc_002,1
dc_002 internet,1
topik di,1
valid dc_003,1
dc_003 internet,1
dapat mengirim,2
topik ke,1
api yaitu,1
valid dc_00,3
dc_00 4,1
4 api,1
service dapat,3
device valid,1
valid dc_005,1
dc_005 api,1
ke gridfs,2
gridfs valid,2
valid dc_006,1
dc_006 api,1
dapat menyimpan,2
dc_00 7,1
7 gridfs,1
gridfs dapat,3
sensor valid,2
dc_00 8,1
8 gridfs,1
dapat menghapus,1
valid dc_009,1
dc_009 iot,1
app dapat,2
menerima permintaan,1
permintaan menampilkan,1
topik topik,2
valid dc_010,1
dc_010 iot,1
dapat menampilkan,1
homeco melalui,1
websocket valid,1
valid 52,1
52 pengujian,1
pengujian skalabilitas,11
skalabilitas api,3
service dalam,1
ada sepuluh,1
sepuluh skenario,1
skenario untuk,1
menguji fungsi,1
fungsi get,1
dan get,1
get pada,1
pada web,1
service tujuan,1
seberapa banyak,2
banyak request,1
diambil get,1
get dalam,1
dalam sekali,2
sekali proses,2
dan seberapa,1
banyak data,1
bisa dikirim,1
dikirim post,1
post dalam,6
proses 521,1
521 pengujian,1
skalabilitas get,4
get api,4
service pengujian,4
service dilakukan,2
membuat request,2
request get,1
get ke,1
ke web,3
beberapa skenario,3
skenario yaitu,3
yaitu skenario,3
skenario 1,3
melakukan 50,2
50 request,1
request dalam,6
satu waktu,11
waktu skenario,7
skenario 2,3
melakukan 100,2
100 request,2
skenario 3,3
3 melakukan,3
melakukan 150,1
150 request,2
skenario 4,3
melakukan 200,1
200 request,1
skenario 5,2
5 melakukan,2
melakukan 250,1
250 request,1
dan skenario,3
skenario 6,1
6 melakukan,1
melakukan 300,2
300 request,5
gambar 19,2
19 menunjukkan,1
grafik dari,3
analisis pada,3
pada pengujian,4
api untuk,2
50 100,3
100 dan,2
dan 150,1
request berhasil,1
berhasil dilakukan,2
dilakukan sedangkan,2
untuk 200,1
200 250,1
250 dan,1
dan 300,2
request hanya,1
hanya 174,1
174 173,2
173 dan,1
dan 174,1
174 request,1
berhasil gambar,2
18 grafik,1
grafik analisis,2
service 522,1
522 pengujian,1
skalabilitas post,4
post api,4
request post,9
post ke,1
melakukan 500,1
500 request,1
melakukan 700,1
700 request,1
melakukan 1000,1
1000 request,2
gambar 20,2
20 menunjukkan,1
untuk 100,1
post berhasil,1
untuk 500,1
500 700,1
700 dan,1
dan 1000,1
post hanya,1
hanya 409,1
409 449,2
449 dan,1
dan 472,1
472 request,1
19 grafik,1
service 53,1
53 pengujian,1
pengujian response,5
time pengujian,1
time dilakukan,1
dengan menampilkan,1
pada iot,1
application dengan,1
dengan 50,1
100 150,2
150 174,1
173 174,1
174 0,1
0 50,1
150 20050,1
20050 request100,1
request100 request150,1
request150 request200,1
request200 request250,1
request250 request300,1
request300 request,1
request request,1
request sukses,1
sukses jumlah,2
jumlah request,1
request 100,1
100 300,1
300 409,1
449 472,1
472 0,1
0 100,1
100 200,1
200 300,1
300 400,1
400 500,1
500 100,1
100 post,1
post 300,1
300 post,1
post 500,1
500 post,1
post 700,1
700 post,1
post 1000,1
1000 post,2
post post,1
post sukses,1
jumlah post,1
post jurnal,1
komputer 2556,1
2556 fakultas,1
brawijaya mengambil,1
mengambil setiap,1
gridfs pengujian,1
melakukan 1,1
1 get,1
get data,5
data skenario,2
melakukan 10,1
10 get,1
melakukan 30,1
30 get,1
50 get,1
berupa bson,1
bson binary,1
binary json,2
json pada,1
gambar 21,2
21 menunjukkan,1
time untuk,1
untuk response,1
time pada,1
gridfs lebih,2
cepat karena,2
diambil berupa,2
berupa chunks,2
kecil daripada,2
daripada data,2
mongodb gambar,1
20 hasil,1
hasil response,1
time pengukuran,1
pengukuran dilakukan,1
dilakukan iot,1
app yang,1
merupakan web,1
web sehingga,1
mempengaruhi pengujian,1
time ini,1
lain transmission,1
transmission delay,1
delay delay,1
delay proccesingquery,1
proccesingquery 54,1
54 analisis,1
performa mongodb,1
mongodb untuk,2
menggunakan perintah,2
perintah serverstatus,2
serverstatus untuk,1
umum tentang,1
tentang status,1
status proses,1
proses pada,1
database saat,1
saat kita,1
dan mengoperasikan,1
mengoperasikan aplikasi,1
aplikasi dengan,1
mongodb kita,1
perlu menganalisis,1
kinerja aplikasi,1
aplikasi dan,1
dan databasenya,1
databasenya dengan,1
serverstatus kita,1
melihat berbagai,1
kondisi dalam,1
mongodb misalkan,1
misalkan perintah,1
perintah dbserverstatusopcounters,1
dbserverstatusopcounters menjelaskan,1
menjelaskan gambaran,1
umum operasi,1
operasi basis,1
menganalisis beban,1
beban pada,1
database secara,1
lebih terperinci,1
terperinci angkaangka,1
angkaangka ini,1
seiring berjalannya,1
berjalannya waktu,1
sebagai tanggapan,1
tanggapan terhadap,1
penggunaan database,1
database analisis,1
ini dari,1
untuk melacak,1
melacak utilisasi,1
utilisasi database,1
21 analisa,1
analisa server,1
server status,1
status 6,1
6 kesimpulan,1
hasil perancangan,1
perancangan implementasi,1
1 sistem,3
storage dapat,1
device sebagai,1
ada diluar,1
diluar sistem,1
sistem sekaligus,1
sekaligus menyimpan,1
berupa mongodb,1
gridfs mongodb,1
permasalahan dalam,1
dalam penyimpanan,1
data berukuran,1
besar laju,1
laju penambahan,1
penambahan data,1
dan format,1
beragam mongo,1
mongo gridfs,1
koleksi yaitu,1
yaitu koleksi,1
file chunks,1
chunks dan,1
dan file,1
file metadata,1
disimpan berbentuk,1
berbentuk binary,1
json sehingga,1
proses penyimpanan,1
dan pengaksesan,1
pengaksesan ke,1
storage dengan,1
adanya gridfs,1
beragam dapat,1
dapat disimpan,1
disimpan tanpa,1
harus memikirkan,1
memikirkan format,1
data terlebih,1
terlebih gridfs,1
gridfs merupakan,1
spesifikasi storage,1
storage dari,1
yang besarnya,1
besarnya lebih,1
dari 16mb,1
16mb 2,1
2 berdasarkan,1
fungsional seluruh,1
seluruh fungsi,1
diuji berhasil,1
pengujian non,1
non fungsional,1
fungsional pada,1
untuk get,1
mengirimkan 50,1
50 sampai,1
sampai 300,1
request didapatkan,1
didapatkan ratarata,2
ratarata request,2
adalah 17366,1
17366 untuk,1
untuk post,1
mengirimkan 100,1
100 sampai,1
sampai 1000,1
post didapatkan,1
adalah 44333,1
44333 untuk,1
time didapatkan,1
didapatkan pada,1
mongodb 0111,1
0111 0117,1
0117 0173,1
0173 0186,1
0186 0046,1
0046 0047,1
0047 0081,1
0081 0185,1
0185 0,1
0 01,1
01 02,1
02 1,1
data 10,1
10 data,1
data 30,1
data 50,1
data response,1
time mongodb,1
mongodb response,1
time gridfs,1
gridfs jurnal,1
komputer 2557,1
2557 fakultas,1
brawijaya daftar,1
pustaka adi,1
adi h,1
h k,1
k sakti,1
sakti e,1
e amron,1
amron k,1
k 2016,1
2016 pengumpulan,1
subscribe pada,1
pada node,1
dalam wireless,1
wireless mesh,1
mesh network,1
network malang,1
malang anwari,1
anwari h,1
2017 pengembangan,1
mqtt jptiik,1
jptiik chodorow,1
chodorow k,1
k dirolf,1
dirolf m,1
m 2010,1
2010 mongodb,1
mongodb the,1
the definitive,1
definitive guide,1
guide 1st,1
1st ed,3
ed oreilly,1
oreilly media,1
media daniel,1
daniel j,1
v drvparthasarathy,1
drvparthasarathy suresh,1
suresh p,1
2014 a,1
a state,1
the art,1
art review,1
iot historytechnology,1
historytechnology and,1
and fields,1
of deployment,1
deployment ieee,1
ieee idrees,1
idrees m,1
m 2012,1
2012 software,1
software developers,1
developers new,1
new ideas,1
ideas solutions,1
solutions for,1
for professional,1
professional 34,1
34 jiang,1
jiang l,1
l xu,1
xu l,1
l d,1
d 2014,1
2014 an,1
platform ieee,1
ieee lampkin,1
lampkin v,1
v leong,1
leong w,1
w t,1
t olivera,1
olivera l,1
l rawat,1
rawat s,1
s subrahmanyam,1
subrahmanyam n,1
n xiang,1
xiang r,1
2012 building,1
building smarter,1
smarter planet,1
planet solutions,1
solutions with,1
with mqtt,1
mqtt and,1
and ibm,1
ibm websphere,1
websphere mq,2
mq telemetry,1
telemetry 1st,1
ed usa,1
usa websphere,1
mq mell,1
mell p,1
p grance,1
grance t,1
t 2011,1
2011 the,1
the nist,1
nist definition,1
definition of,1
of cloud,1
computing computer,1
security division,1
division information,1
technology laboratory,1
laboratory national,1
national institute,1
institute of,1
of standards,1
standards and,1
technology united,1
states department,1
department of,1
of commerce,1
commerce ngu,1
ngu a,1
h gutierrez,1
gutierrez m,1
m 2016,2
2016 iot,1
middleware a,1
survey on,1
on issues,1
and enabling,1
enabling technologies,1
technologies ieee,1
ieee internet,1
things journal,1
journal purbo,1
purbo o,1
o w,1
w 2011,1
2011 petunjuk,1
petunjuk praktis,1
praktis cloud,1
computing menggunakan,1
menggunakan open,1
open source,2
source yogyakarta,1
cv andi,1
offset seguin,1
seguin k,1
k 2012,1
2012 the,1
the little,1
little mongodb,1
mongodb book,1
book san,1
san fransisco,1
fransisco git,1
git hub,1
hub inc,1
inc skvorc,1
skvorc d,1
d horvat,1
horvat m,1
m srbljic,1
srbljic s,1
s 2014,2
2014 performance,1
performance evaluation,1
evaluation of,3
of websocket,1
websocket protokol,1
protokol for,1
for implementation,1
of fullduplex,1
fullduplex web,1
web streams,1
streams ieee,1
ieee solace,1
solace nd,1
nd mqtt,1
mqtt topics,1
topics retrieved,1
retrieved 12,1
12 30,1
30 2016fromhttpdocssolacecomfeatures,1
2016fromhttpdocssolacecomfeatures mqtttopicshtm,1
mqtttopicshtm tiwari,1
tiwari s,1
2011 professional,1
professional nosql,1
nosql indianapolis,1
indianapolis john,1
john wiley,2
wiley sons,2
sons inc,1
jurnal bisantara,1
bisantara informatika,1
informatika jbi,1
jbi vol5,1
no2 desember,1
desember 2021,1
print 26866455,13
26866455 issn,13
online 26865319,13
26865319 1,1
1 perancangan,1
informasi penjualan,8
penjualan berbasis,6
web pada,5
pada toko,6
toko mandiri,21
mandiri 88,21
88 pematangsiantar,3
pematangsiantar jimmi,1
jimmi hendrik,1
hendrik p,1
p sitorus1,1
sitorus1 muhammad,1
muhammad sakban2,1
sakban2 12manajemen,1
12manajemen informatika,1
informatika amik,1
amik parbina,1
parbina nusantara,1
nusantara pematangsiantar,1
pematangsiantar indonesia,1
email 1jimmisitorusamikparbinanusantaraacid,1
1jimmisitorusamikparbinanusantaraacid 2sibanggormadinagmailcom,1
2sibanggormadinagmailcom abstrak,1
sangat diharapkan,1
diharapkan karena,1
karena meningkatnya,1
pertumbuhan perusahaan,1
dan instansi,1
instansi yang,1
kebutuhan layanan,1
layanan informasisistem,1
informasisistem informasi,1
web merupakan,1
yang perkembangannya,1
perkembangannya saat,1
sangat nyata,1
nyata dan,1
dan begitu,1
begitu cepat,1
cepat penelitian,1
sistem infomasi,2
infomasi penjualan,2
menggunakan frameworks,1
frameworks codeigniter,1
codeigniter pada,1
penelitian toko,1
pematangsiantar yang,1
yang basis,1
basis penjualan,1
penjualan berupa,1
berupa furniture,1
furniture toko,2
88 melakukan,2
melakukan penjualan,2
penjualan dan,4
dan pemasaran,1
pemasaran secara,2
secara konvensional,1
konvensional yaitu,1
yaitu konsumen,1
konsumen masih,1
masih diharuskan,1
diharuskan untuk,1
mengirim rincian,1
rincian pesanannya,1
pesanannya melalui,1
email bisnis,1
bisnis tentu,1
tentu kurang,1
kurang kompetitif,1
kompetitif bila,1
bila tidak,1
memiliki media,1
media pemasaran,1
seperti website,1
website keberadaan,1
keberadaan suatu,1
suatu website,1
website dapat,1
dapat memperluas,1
memperluas jangkauan,1
jangkauan dalam,1
dalam pemasaran,1
pemasaran produk,1
yang dijual,2
dijual pada,1
88 tujuan,1
adalah menghasilkan,1
menghasilkan suatu,1
sistem sistem,2
memberikan kemudahan,1
kelancaran pada,1
transaksi penjualan,3
mempermudah customer,1
customer dalam,2
tentang berbagai,1
berbagai produk,1
produk furniture,1
furniture pada,1
88 dan,1
meningkatkan daya,1
daya penjualan,1
penjualan dengan,2
penjualan furniture,8
furniture berbasis,1
web hasil,1
bahwa perancangan,5
berbasis online,1
membantu konsumen,1
konsumen dalam,1
dalam mengakses,1
dijual kata,1
kata kuncisistem,1
kuncisistem informasi,1
penjualan online,1
online codeigniter,2
codeigniter abstract,1
internet world,1
world today,1
is highly,1
highly expected,1
expected because,1
increasing number,1
of growth,1
of companies,1
companies and,1
and agencies,1
agencies that,1
have an,1
information services,1
services webbased,1
webbased sales,3
sales information,5
services whose,1
whose development,1
development is,1
is currently,1
currently very,1
very real,1
real and,1
and so,1
so fast,1
fast this,1
to create,1
create a,1
a webbased,3
using codeigniter,1
codeigniter frameworks,1
frameworks on,1
the object,1
object of,1
research at,1
at toko,4
pematangsiantar whose,1
whose sales,1
sales base,1
base is,1
of furniture,1
88 conducts,1
conducts sales,1
sales and,1
and marketing,1
marketing conventionally,1
conventionally where,1
where consumers,1
consumers are,1
are still,2
still required,1
required to,1
to send,1
send their,1
their order,1
order details,1
details via,1
via email,1
email businesses,1
businesses are,1
are certainly,1
certainly less,1
less competitive,1
competitive if,1
they dont,1
have online,1
online marketing,1
marketing media,1
media such,1
as websites,1
websites the,1
the existence,1
existence of,1
a website,1
website can,1
can expand,1
expand the,1
the reach,1
reach in,1
in marketing,1
marketing products,1
products sold,1
sold at,1
88 the,1
to produce,1
produce a,1
system that,1
provides convenience,1
convenience and,1
and fluency,1
fluency at,1
88 to,1
to conduct,1
conduct sales,1
sales transactions,1
transactions and,1
make it,1
it easier,1
easier for,1
for customers,1
get information,1
information about,3
about various,1
various furniture,1
furniture products,1
products at,1
88 and,1
and help,1
help increase,1
increase sales,1
sales power,1
power by,1
webbased furniture,1
furniture sales,1
system the,1
study indicate,1
indicate that,2
an onlinebased,1
onlinebased sales,1
can assist,1
assist consumers,1
consumers in,1
in accessing,1
accessing information,1
the products,1
products being,1
being sold,1
sold keywordsinformatioan,1
keywordsinformatioan system,1
system commerce,1
commerce online,1
codeigniter issn,1
26865319 2,1
pendahuluan toko,1
88 merupakan,1
sebuah perusahaan,1
yang bergerak,2
bergerak dibidang,1
dibidang penjualan,1
furniture khususnya,1
di pematangsiantar,1
pematangsiantar saat,1
ini perusahaan,1
tersebut masih,1
sistem pelayanan,1
pelayanan kasir,1
sederhana dengan,1
dengan hanya,2
hanya dicatat,1
dicatat pada,1
sebuah buku,1
buku pelayanan,1
pelayanan kepada,1
kepada pelanggan,1
pelanggan menjadi,1
kurang maksimal,1
maksimal perhitungan,1
perhitungan hasil,1
hasil transaksi,1
transaksi yang,1
hanya mengendalikan,1
mengendalikan sebuah,1
sebuah kalkulator,1
kalkulator dan,1
tanpa hanya,1
hanya dukungan,1
dukungan sebuah,1
sebuah komputer,1
komputer ataupun,1
laptop dengan,1
dengan dibantu,1
dibantu seorang,1
seorang karyawan,1
karyawan pada,1
bagian kasir,1
kasir penjualan,1
penjualan ini,1
ini membutuhkan,1
sistem pengenalan,1
pengenalan produkproduk,1
produkproduk furniture,1
furniture dan,2
dan penjualan,1
penjualan yang,1
berbasis pemrograman,1
web toko,1
transaksi laporan,1
laporan penjualan,5
furniture masih,1
sistem manual,3
manual dan,1
dan belum,1
belum terkomputerisasi,1
terkomputerisasi sedangkan,1
sedangkan kemajuan,1
memaksa segala,1
segala pekerjaan,1
manusia dituntut,1
untuk cepat,1
pada segala,1
aspek salah,1
aspek bisnis,1
bisnis komputerisasi,1
komputerisasi merupakan,1
satu solusi,1
solusi agar,1
pelaku bisnis,2
bisnis dapat,1
pekerjaan secara,1
cepat yang,1
semula kita,1
cara manual,1
manual toko,1
88 adalah,1
adalah tokoh,1
tokoh yang,1
menjual berbagai,1
jenis furniture,1
furniture seperti,1
seperti kursi,1
kursi meja,1
meja lemari,1
lemari tempat,1
tidur dan,1
lainlain sistem,1
manual masih,1
berlaku ditokoh,1
ditokoh ini,1
cara pencatatan,1
pencatatan secara,1
manual menggunakan,1
menggunakan buku,1
buku atau,1
atau nota,1
nota laporan,1
furniture menggunakan,1
manual akan,1
akan memperlambat,1
memperlambat pembuatan,1
pembuatan laporan,2
terdapat banyak,1
banyak kesalahan,1
kesalahan dalam,1
laporan dan,1
berjalan saat,1
belum efektif,1
terjadi dipenjualan,1
dipenjualan furniture,1
furniture maka,1
penulis ingin,1
ingin membuat,1
mempermudah tokoh,1
tokoh toko,2
88 dalam,1
transaksi serta,1
serta laporan,1
furniture 2,1
untuk mendaptkan,1
mendaptkan data,1
data terkait,2
a wawancara,1
cara mengajukan,1
mengajukan pertanyaanpertanyaan,1
pertanyaanpertanyaan secara,1
dengan pemilik,1
pemilik tokoh,1
88 tentang,1
bagaimana alur,1
alur transaksi,1
penjualan pembelian,2
pembelian ketersediaan,2
ketersediaan barang,2
barang peroses,1
peroses pelaporan,1
pelaporan pada,1
88 b,1
b observasi,1
observasi observasi,1
observasi adalah,1
cara pengumpulan,1
mengamati proses,1
proses transaksi,1
barang proses,1
proses pelaporan,1
pelaporan toko,1
88 1,1
1 studi,1
menggunakan bukubuku,1
bukubuku sebagai,1
bahan referensi,1
referensi dan,2
jurnal dari,1
sudah terissn,1
terissn dalam,1
penulisan laporan,1
laporan sampai,1
sampai implementasi,1
implementasi 2,1
2 perancangan,1
perancangan dan,1
dan analisia,1
analisia pada,1
penulis sudah,2
sudah mendapatkan,1
mendapatkan datadata,1
dibutuhkan sehingga,1
mulai membuat,1
membuat perancangan,1
penulis mulai,1
mulai mengerjakan,1
mengerjakan perangkat,1
menggunakan script,1
script program,1
desain untuk,1
lunak setelah,1
setelah merancangnya,1
merancangnya jbi,1
jbi issn,6
26865319 3,1
3 3,1
31 defenisi,1
defenisi perancangan,1
perancangan menurut,1
menurut deddy,1
deddy acbar,1
acbar rianto,1
rianto et,1
2015 296,1
296 dalam,1
ilmiah media,2
media sisfo,2
sisfo vol9,2
vol9 no2,2
no2 menyatakan,1
perancangan dapat,1
diartikan perencanaan,1
perencanaan dari,1
pembuatan suatu,1
menyangkut berbagai,1
berbagai komponen,1
komponen sehingga,1
tahap analisa,1
analisa sistem,3
menurut berto,1
berto nadeak,1
nadeak et,1
al 2016,1
2016 54,1
54 dalam,1
riset komputer,1
komputer jurikom,1
jurikom vol3,1
vol3 no4,1
no4 menyatakan,1
perancangan adalah,2
adalah langkah,1
fase pembangunan,1
pembangunan rekayasa,1
produk atau,1
sistem perancangan,2
perancangan itu,1
proses penerapan,1
penerapan berbagai,1
untuk mendefinisikan,1
mendefinisikan sebuah,1
sebuah peralatan,1
peralatan satu,1
satu proses,2
proses atau,1
satu sistem,1
detail yang,1
yang membolehkan,1
membolehkan dilakukan,1
dilakukan realisasi,1
realisasi fisik,1
fisik menurut,1
menurut rusdi,1
rusdi nur,1
nur et,1
al 20185,1
20185 dalam,1
jurnal perancangan,1
perancangan mesinmesin,1
mesinmesin industri,1
industri menyatakan,1
suatu proses,2
dan mendesain,2
mendesain sistem,2
baru berdasarkan,1
berdasarkan pendapat,4
pendapat ahli,3
ahli dapat,1
perancangan merupakan,1
perencanaan suatu,1
baru 32,1
32 pengertian,1
pengertian sistem,2
menurut romney,1
romney et,1
al 20151,1
20151 dalam,1
jurnal acounting,1
acounting information,1
system menyatakan,1
adalah serangkaian,4
serangkaian dua,1
dua atau,1
lebih komponen,1
dan berinteraksi,1
berinteraksi untuk,1
mencapai suatu,2
suatu tujuan,2
tujuan menurut,1
menurut mulyadi,1
mulyadi 20161,1
20161 dalam,1
jurnal sistem,2
sistem akuntansi,1
akuntansi menyatakan,1
adalah sekelompok,1
sekelompok unsur,1
yang erat,1
erat berhubungan,1
berhubungan satu,1
dengan lainnya,1
berfungsi bersama,1
bersama sama,1
sama untuk,1
tertentu menurut,1
menurut sutabri,1
sutabri 2016,1
manajemen menyatakan,1
suatu kumpulan,1
kumpulan atau,1
atau himpunan,1
himpunan dari,1
dari unsur,1
unsur komponen,1
yang terorganisasi,1
terorganisasi saling,1
saling berinteraksi,2
berinteraksi saling,1
tergantung satu,1
terpadu berdasarkan,1
ahli diatas,3
disimpulkan sistem,1
serangkaian komponen,1
dan bergantung,1
bergantung satu,1
tertentu 33,1
33 pengertian,1
pengertian informasi,1
informasi menurut,2
menurut prabowo,1
prabowo 2017,1
bisnis menyatakan,1
bahwa informasi,4
atau berbagai,2
kemudian diolah,1
